Numero de puntos; Tiempo en ms del algoritmo sencillo:; Tiempo en ms del algiritmo DyV:;
1000;no provado;24030;
2000;no provado;75788;
3000;no provado;162405;
4000;no provado;271483;
5000;no provado;384501;
6000;no provado;559068;
7000;no provado;592974;
8000;no provado;907508;
9000;no provado;899020;
10000;no provado;1.23257e+06;
11000;no provado;1.43674e+06;
12000;no provado;1.71229e+06;
13000;no provado;1.82131e+06;
14000;no provado;2.16482e+06;
15000;no provado;2.27885e+06;
16000;no provado;2.72228e+06;
17000;no provado;3.11634e+06;
18000;no provado;3.25901e+06;
19000;no provado;3.2306e+06;
20000;no provado;3.57553e+06;
21000;no provado;4.16923e+06;
22000;no provado;3.12842e+06;
23000;no provado;4.54079e+06;
24000;no provado;4.75419e+06;
25000;no provado;5.1681e+06;
26000;no provado;5.75355e+06;
27000;no provado;6.21e+06;
28000;no provado;6.59275e+06;
29000;no provado;6.48665e+06;
30000;no provado;6.81791e+06;
31000;no provado;7.11008e+06;
32000;no provado;7.56844e+06;
33000;no provado;7.67831e+06;
34000;no provado;8.54134e+06;
35000;no provado;9.4695e+06;
36000;no provado;9.77914e+06;
37000;no provado;9.15688e+06;
38000;no provado;9.82372e+06;
39000;no provado;1.03903e+07;
40000;no provado;1.07416e+07;
41000;no provado;1.1618e+07;
42000;no provado;1.21961e+07;
43000;no provado;1.20561e+07;
44000;no provado;1.24946e+07;
45000;no provado;1.3605e+07;
46000;no provado;1.33584e+07;
47000;no provado;1.45211e+07;
48000;no provado;1.53551e+07;
49000;no provado;1.49254e+07;
50000;no provado;1.51706e+07;
51000;no provado;1.54222e+07;
52000;no provado;1.62908e+07;
53000;no provado;1.66293e+07;
54000;no provado;1.83649e+07;
55000;no provado;1.77938e+07;
56000;no provado;1.91042e+07;
57000;no provado;1.70285e+07;
58000;no provado;1.98777e+07;
59000;no provado;2.06255e+07;
60000;no provado;2.01365e+07;
61000;no provado;2.13562e+07;
62000;no provado;2.31353e+07;
63000;no provado;2.28655e+07;
64000;no provado;2.37053e+07;
65000;no provado;2.30447e+07;
66000;no provado;2.35111e+07;
67000;no provado;2.6462e+07;
68000;no provado;2.8867e+07;
