Numero de puntos; Tiempo en ms del algoritmo sencillo:; Tiempo en ms del algiritmo DyV:;
500;6887;8539;
1000;26406;23393;
1500;54880;46751;
2000;101005;87223;
2500;153073;149313;
3000;196607;159759;
3500;294662;230101;
4000;337993;279619;
4500;467696;390377;
5000;571301;415829;
5500;583482;502408;
6000;788867;540882;
6500;975922;667857;
7000;1.08436e+06;801924;
7500;1.25216e+06;900799;
8000;1.35107e+06;983321;
8500;1.54222e+06;1.13652e+06;
9000;1.63504e+06;1.20622e+06;
9500;1.90286e+06;1.37089e+06;
10000;2.12569e+06;1.48058e+06;
10500;2.22818e+06;1.47749e+06;
11000;2.41782e+06;1.76293e+06;
11500;2.76186e+06;1.79832e+06;
12000;3.30762e+06;2.00938e+06;
12500;3.00754e+06;1.94214e+06;
13000;3.37575e+06;2.62829e+06;
13500;3.68682e+06;2.04753e+06;
14000;3.56588e+06;2.23769e+06;
14500;4.15446e+06;2.71864e+06;
15000;4.08096e+06;2.76128e+06;
15500;4.06493e+06;2.07079e+06;
16000;4.73166e+06;2.92934e+06;
16500;4.64779e+06;2.93678e+06;
17000;5.18447e+06;3.08565e+06;
17500;5.46607e+06;3.38765e+06;
18000;6.12026e+06;3.71712e+06;
18500;6.11484e+06;3.89958e+06;
19000;6.63476e+06;5.14248e+06;
19500;7.91678e+06;6.14442e+06;
20000;8.30375e+06;6.31746e+06;
20500;7.80407e+06;4.96031e+06;
21000;7.64044e+06;4.6916e+06;
21500;8.38737e+06;4.94285e+06;
22000;9.44657e+06;4.59064e+06;
22500;7.43826e+06;4.53028e+06;
23000;8.0148e+06;4.94143e+06;
23500;7.89698e+06;4.57338e+06;
24000;8.47794e+06;4.95377e+06;
24500;8.83561e+06;5.19557e+06;
25000;9.43813e+06;5.58502e+06;
25500;9.63642e+06;5.62511e+06;
26000;9.28948e+06;5.18248e+06;
26500;9.97039e+06;5.85365e+06;
27000;9.82553e+06;5.74542e+06;
27500;1.06368e+07;6.05348e+06;
28000;1.06936e+07;5.9722e+06;
28500;1.13725e+07;6.27128e+06;
29000;1.20805e+07;6.66823e+06;
29500;1.24303e+07;6.7732e+06;
30000;1.23344e+07;6.97749e+06;
30500;1.29718e+07;7.32092e+06;
31000;1.32674e+07;7.26581e+06;
31500;1.39713e+07;7.99112e+06;
32000;1.37001e+07;7.64034e+06;
32500;1.42958e+07;7.39731e+06;
33000;1.50104e+07;7.90822e+06;
33500;1.57938e+07;9.05598e+06;
34000;1.62222e+07;8.54755e+06;
34500;1.64389e+07;1.05284e+07;
35000;1.90101e+07;9.08251e+06;
35500;1.87302e+07;1.00483e+07;
36000;1.83142e+07;1.0615e+07;
36500;2.00499e+07;1.08983e+07;
37000;1.90116e+07;1.12148e+07;
37500;1.99735e+07;1.08461e+07;
38000;2.31603e+07;1.44448e+07;
38500;2.28543e+07;1.17576e+07;
39000;2.34853e+07;1.14473e+07;
39500;2.19538e+07;1.30074e+07;
40000;2.23183e+07;1.20722e+07;
40500;2.14268e+07;1.14418e+07;
41000;2.44336e+07;1.39279e+07;
41500;2.62396e+07;1.38622e+07;
42000;2.7775e+07;1.40222e+07;
42500;2.77796e+07;1.45554e+07;
43000;2.81647e+07;1.35562e+07;
43500;2.88351e+07;1.67351e+07;
44000;2.90641e+07;1.4431e+07;
44500;3.05685e+07;1.62748e+07;
45000;3.12733e+07;1.569e+07;
45500;2.92673e+07;1.50533e+07;
46000;2.88192e+07;1.43151e+07;
46500;3.15726e+07;1.63458e+07;
47000;3.14417e+07;1.49729e+07;
47500;3.33587e+07;1.82086e+07;
48000;3.33077e+07;1.62403e+07;
48500;3.15323e+07;1.50186e+07;
49000;3.04774e+07;1.58323e+07;
49500;3.27423e+07;1.53603e+07;
50000;3.21128e+07;1.76679e+07;
